surface_a,surface_b,token_similarity,char_similarity,decision_zone,proposed_decision,ground_truth_decision,outcome,correct,pair_type
Health_Alliance_A,Health_Alliance_B,0.5,0.941,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend
Health_Alliance_A,Public_Choice_Network,0.0,0.263,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_A,Public_Choices_Network,0.0,0.256,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_A,Research_Forum_Alpha,0.0,0.378,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_A,Research_Forums_Alpha,0.0,0.368,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_A,Intermediary_Gamma,0.0,0.286,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_A,Intermediary_Gamma_Group,0.0,0.244,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_A,Gamma_Intermediary_Network,0.0,0.233,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_A,Campaign_Omega,0.0,0.129,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_A,Campaign_Omega_Initiative,0.0,0.286,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_B,Public_Choice_Network,0.0,0.263,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_B,Public_Choices_Network,0.0,0.256,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_B,Research_Forum_Alpha,0.0,0.378,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_B,Research_Forums_Alpha,0.0,0.368,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_B,Intermediary_Gamma,0.0,0.229,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_B,Intermediary_Gamma_Group,0.0,0.195,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_B,Gamma_Intermediary_Network,0.0,0.233,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_B,Campaign_Omega,0.0,0.129,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_B,Campaign_Omega_Initiative,0.0,0.286,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Network,Public_Choices_Network,0.5,0.977,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend
Public_Choice_Network,Research_Forum_Alpha,0.0,0.244,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Network,Research_Forums_Alpha,0.0,0.238,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Network,Intermediary_Gamma,0.0,0.103,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Network,Intermediary_Gamma_Group,0.0,0.044,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Network,Gamma_Intermediary_Network,0.2,0.426,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Network,Campaign_Omega,0.0,0.286,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Network,Campaign_Omega_Initiative,0.0,0.261,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choices_Network,Research_Forum_Alpha,0.0,0.238,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choices_Network,Research_Forums_Alpha,0.0,0.233,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choices_Network,Intermediary_Gamma,0.0,0.1,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choices_Network,Intermediary_Gamma_Group,0.0,0.043,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choices_Network,Gamma_Intermediary_Network,0.2,0.417,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choices_Network,Campaign_Omega,0.0,0.278,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choices_Network,Campaign_Omega_Initiative,0.0,0.255,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Research_Forum_Alpha,Research_Forums_Alpha,0.5,0.976,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend
Research_Forum_Alpha,Intermediary_Gamma,0.0,0.368,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Research_Forum_Alpha,Intermediary_Gamma_Group,0.0,0.364,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Research_Forum_Alpha,Gamma_Intermediary_Network,0.0,0.304,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Research_Forum_Alpha,Campaign_Omega,0.0,0.118,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Research_Forum_Alpha,Campaign_Omega_Initiative,0.0,0.089,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Research_Forums_Alpha,Intermediary_Gamma,0.0,0.359,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Research_Forums_Alpha,Intermediary_Gamma_Group,0.0,0.356,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Research_Forums_Alpha,Gamma_Intermediary_Network,0.0,0.298,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Research_Forums_Alpha,Campaign_Omega,0.0,0.114,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Research_Forums_Alpha,Campaign_Omega_Initiative,0.0,0.087,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Intermediary_Gamma,Intermediary_Gamma_Group,0.667,0.857,auto_merge,merge,merge,correct_auto_merge,True,true_alias
Intermediary_Gamma,Gamma_Intermediary_Network,0.667,0.591,auto_merge,merge,merge,correct_auto_merge,True,true_alias
Intermediary_Gamma,Campaign_Omega,0.0,0.375,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Intermediary_Gamma,Campaign_Omega_Initiative,0.0,0.233,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Intermediary_Gamma_Group,Gamma_Intermediary_Network,0.5,0.56,refer_to_human,do_not_merge,merge,referred_true_alias,False,true_alias
Intermediary_Gamma_Group,Campaign_Omega,0.0,0.316,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Intermediary_Gamma_Group,Campaign_Omega_Initiative,0.0,0.204,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Gamma_Intermediary_Network,Campaign_Omega,0.0,0.1,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Gamma_Intermediary_Network,Campaign_Omega_Initiative,0.0,0.431,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Campaign_Omega,Campaign_Omega_Initiative,0.667,0.718,auto_merge,merge,merge,correct_auto_merge,True,true_alias
