entity_id,surface_form,canonical_id,is_true_alias,is_false_friend,expected_merge_decision
ER_FF_000_A,Health_Alliance_Alpha,CANON_FF_000_A,False,True,do_not_merge
ER_FF_000_B,Health_Alliance_Beta,CANON_FF_000_B,False,True,do_not_merge
ER_FF_001_A,Public_Choice_Branch,CANON_FF_001_A,False,True,do_not_merge
ER_FF_001_B,Public_Choice_Branches,CANON_FF_001_B,False,True,do_not_merge
ER_FF_002_A,Civic_Forum_Alpha,CANON_FF_002_A,False,True,do_not_merge
ER_FF_002_B,Civic_Forum_Beta,CANON_FF_002_B,False,True,do_not_merge
ER_FF_003_A,Policy_Council_Branch,CANON_FF_003_A,False,True,do_not_merge
ER_FF_003_B,Policy_Council_Branches,CANON_FF_003_B,False,True,do_not_merge
ER_FF_004_A,Wellness_League_Alpha,CANON_FF_004_A,False,True,do_not_merge
ER_FF_004_B,Wellness_League_Beta,CANON_FF_004_B,False,True,do_not_merge
ER_FF_005_A,Reform_Circle_Branch,CANON_FF_005_A,False,True,do_not_merge
ER_FF_005_B,Reform_Circle_Branches,CANON_FF_005_B,False,True,do_not_merge
ER_FF_006_A,Liberty_Board_Alpha,CANON_FF_006_A,False,True,do_not_merge
ER_FF_006_B,Liberty_Board_Beta,CANON_FF_006_B,False,True,do_not_merge
ER_FF_007_A,Standards_Coalition_Branch,CANON_FF_007_A,False,True,do_not_merge
ER_FF_007_B,Standards_Coalition_Branches,CANON_FF_007_B,False,True,do_not_merge
ER_FF_008_A,Data_Institute_Alpha,CANON_FF_008_A,False,True,do_not_merge
ER_FF_008_B,Data_Institute_Beta,CANON_FF_008_B,False,True,do_not_merge
ER_FF_009_A,Citizen_Trust_Branch,CANON_FF_009_A,False,True,do_not_merge
ER_FF_009_B,Citizen_Trust_Branches,CANON_FF_009_B,False,True,do_not_merge
ER_FF_010_A,Research_Society_Alpha,CANON_FF_010_A,False,True,do_not_merge
ER_FF_010_B,Research_Society_Beta,CANON_FF_010_B,False,True,do_not_merge
ER_FF_011_A,Market_Union_Branch,CANON_FF_011_A,False,True,do_not_merge
ER_FF_011_B,Market_Union_Branches,CANON_FF_011_B,False,True,do_not_merge
ER_FF_012_A,Consumer_Partnership_Alpha,CANON_FF_012_A,False,True,do_not_merge
ER_FF_012_B,Consumer_Partnership_Beta,CANON_FF_012_B,False,True,do_not_merge
ER_FF_013_A,Global_Assembly_Branch,CANON_FF_013_A,False,True,do_not_merge
ER_FF_013_B,Global_Assembly_Branches,CANON_FF_013_B,False,True,do_not_merge
ER_FF_014_A,Regional_Foundation_Alpha,CANON_FF_014_A,False,True,do_not_merge
ER_FF_014_B,Regional_Foundation_Beta,CANON_FF_014_B,False,True,do_not_merge
ER_FF_015_A,National_Choice_Branch,CANON_FF_015_A,False,True,do_not_merge
ER_FF_015_B,National_Choice_Branches,CANON_FF_015_B,False,True,do_not_merge
ER_FF_016_A,Open_Forum_Alpha,CANON_FF_016_A,False,True,do_not_merge
ER_FF_016_B,Open_Forum_Beta,CANON_FF_016_B,False,True,do_not_merge
ER_FF_017_A,Future_Council_Branch,CANON_FF_017_A,False,True,do_not_merge
ER_FF_017_B,Future_Council_Branches,CANON_FF_017_B,False,True,do_not_merge
ER_AL_000_0,Common_League_Gamma,CANON_ALIAS_000,True,False,merge
ER_AL_000_1,Common_League_Gamma_Group,CANON_ALIAS_000,True,False,merge
ER_AL_000_2,Gamma_Common_Network,CANON_ALIAS_000,True,False,merge
ER_AL_001_0,Progress_Circle_Delta,CANON_ALIAS_001,True,False,merge
ER_AL_001_1,Progress_Circle_Delta_Group,CANON_ALIAS_001,True,False,merge
ER_AL_002_0,Heritage_Board_Sigma,CANON_ALIAS_002,True,False,merge
ER_AL_002_1,Heritage_Board_Sigma_Group,CANON_ALIAS_002,True,False,merge
ER_AL_003_0,Unity_Coalition_Omega,CANON_ALIAS_003,True,False,merge
ER_AL_003_1,Unity_Coalition_Omega_Group,CANON_ALIAS_003,True,False,merge
ER_AL_004_0,Frontier_Institute_Theta,CANON_ALIAS_004,True,False,merge
ER_AL_004_1,Frontier_Institute_Theta_Group,CANON_ALIAS_004,True,False,merge
ER_AL_005_0,Summit_Trust_Lambda,CANON_ALIAS_005,True,False,merge
ER_AL_005_1,Summit_Trust_Lambda_Group,CANON_ALIAS_005,True,False,merge
ER_AL_006_0,Pioneer_Society_Kappa,CANON_ALIAS_006,True,False,merge
ER_AL_006_1,Pioneer_Society_Kappa_Group,CANON_ALIAS_006,True,False,merge
ER_AL_006_2,Kappa_Pioneer_Network,CANON_ALIAS_006,True,False,merge
ER_AL_007_0,Anchor_Union_Zeta,CANON_ALIAS_007,True,False,merge
ER_AL_007_1,Anchor_Union_Zeta_Group,CANON_ALIAS_007,True,False,merge
ER_AL_008_0,Beacon_Partnership_Eta,CANON_ALIAS_008,True,False,merge
ER_AL_008_1,Beacon_Partnership_Eta_Group,CANON_ALIAS_008,True,False,merge
ER_AL_009_0,Cardinal_Assembly_Iota,CANON_ALIAS_009,True,False,merge
ER_AL_009_1,Cardinal_Assembly_Iota_Group,CANON_ALIAS_009,True,False,merge
ER_AL_010_0,Meridian_Foundation_Mu,CANON_ALIAS_010,True,False,merge
ER_AL_010_1,Meridian_Foundation_Mu_Group,CANON_ALIAS_010,True,False,merge
ER_AL_011_0,Vanguard_Alliance_Nu,CANON_ALIAS_011,True,False,merge
ER_AL_011_1,Vanguard_Alliance_Nu_Group,CANON_ALIAS_011,True,False,merge
