candidate_id,node_sequence,has_funding_edge,mean_grade,min_grade,n_evidence_types,temporal_clustering,semantic_similarity,amplification,cooccurrence,support_factor,term_funding,term_mean_grade,term_min_grade,term_evidence_types,term_temporal,term_supporting,penalty_length,raw_score,final_score,score_ungated_ablation,gate_contribution,triage_threshold,score_threshold_crossed,eligible_for_high_priority,eligibility_rule_version,ineligible_reason,high_priority_review,flagged
CAND_0013,Funder_001 -> Intermediary_001 -> Campaign_L007,1,3.5,3,2,1.0,0,0,0,0.75,22.0,26.25,12.0,3.2,6.0,0.0,-0.0,69.45,69.45,69.45,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0006,Funder_000 -> Intermediary_000 -> Proxy_000 -> Campaign_000,1,3.333,3,3,0.667,0,0,0,0.75,22.0,24.998,12.0,4.8,4.002,0.0,-0.0,67.799,67.8,67.8,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0031,Funder_004 -> Intermediary_004 -> Proxy_004 -> Campaign_004,1,3.333,3,3,0.667,0,0,0,0.75,22.0,24.998,12.0,4.8,4.002,0.0,-0.0,67.799,67.8,67.8,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0036,Funder_007 -> Intermediary_007 -> Event_007 -> Report_007,1,3.333,3,3,0.667,0,0,0,0.75,22.0,24.998,12.0,4.8,4.002,0.0,-0.0,67.799,67.8,67.8,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0037,Funder_008 -> Intermediary_008 -> Proxy_008 -> Campaign_008,1,3.333,3,3,0.667,0,0,0,0.75,22.0,24.998,12.0,4.8,4.002,0.0,-0.0,67.799,67.8,67.8,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0026,Funder_003 -> Intermediary_003 -> Event_003 -> Report_003,1,3.333,3,3,0.667,0,0,0,0.75,22.0,24.998,12.0,4.8,4.002,0.0,-0.0,67.799,67.8,67.8,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0040,Funder_011 -> Intermediary_011 -> Event_011 -> Report_011,1,3.333,3,3,0.667,0,0,0,0.75,22.0,24.998,12.0,4.8,4.002,0.0,-0.0,67.799,67.8,67.8,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0018,Funder_002 -> Intermediary_002 -> Campaign_WC02,1,3.5,3,2,0.5,0,0,0,0.75,22.0,26.25,12.0,3.2,3.0,0.0,-0.0,66.45,66.45,66.45,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0025,Funder_003 -> Intermediary_003 -> Campaign_WC04,1,3.5,3,2,0.5,0,0,0,0.75,22.0,26.25,12.0,3.2,3.0,0.0,-0.0,66.45,66.45,66.45,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0004,Funder_000 -> Intermediary_000 -> Campaign_L005,1,3.5,3,2,0.5,0,0,0,0.75,22.0,26.25,12.0,3.2,3.0,0.0,-0.0,66.45,66.45,66.45,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0033,Funder_005 -> Intermediary_005 -> Event_005 -> Proxy_005 -> Report_005,1,3.25,3,4,0.5,0,0,0,0.75,22.0,24.375,12.0,6.4,3.0,0.0,-2.0,65.775,65.78,65.78,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0038,Funder_009 -> Intermediary_009 -> Event_009 -> Proxy_009 -> Report_009,1,3.25,3,4,0.5,0,0,0,0.75,22.0,24.375,12.0,6.4,3.0,0.0,-2.0,65.775,65.78,65.78,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0011,Funder_001 -> Intermediary_001 -> Event_001 -> Proxy_001 -> Report_001,1,3.25,3,4,0.5,0,0,0,0.75,22.0,24.375,12.0,6.4,3.0,0.0,-2.0,65.775,65.78,65.78,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0014,Funder_001 -> Intermediary_001 -> Campaign_EC06,1,3.0,2,2,1.0,0,1,0,0.5,22.0,22.5,8.0,3.2,6.0,2.5,-0.0,64.2,64.2,66.7,2.5,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0017,Funder_002 -> Intermediary_002 -> Proxy_002 -> Campaign_002,1,3.0,2,3,0.667,0,1,0,0.5,22.0,22.5,8.0,4.8,4.002,2.5,-0.0,63.802,63.8,66.3,2.5,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0039,Funder_010 -> Intermediary_010 -> Proxy_010 -> Campaign_010,1,3.0,2,3,0.667,0,1,0,0.5,22.0,22.5,8.0,4.8,4.002,2.5,-0.0,63.802,63.8,66.3,2.5,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0035,Funder_006 -> Intermediary_006 -> Proxy_006 -> Campaign_006,1,3.0,2,3,0.667,0,1,0,0.5,22.0,22.5,8.0,4.8,4.002,2.5,-0.0,63.802,63.8,66.3,2.5,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0016,Funder_001 -> Intermediary_001 -> Campaign_008,1,3.0,2,2,1.0,0,0,0,0.5,22.0,22.5,8.0,3.2,6.0,0.0,-0.0,61.7,61.7,61.7,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0042,Funder_L001 -> Intermediary_L001 -> Proxy_L001 -> Campaign_L001,1,3.0,2,3,0.667,0,0,0,0.5,22.0,22.5,8.0,4.8,4.002,0.0,-0.0,61.302,61.3,61.3,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0028,Funder_003 -> Intermediary_003 -> Proxy_005 -> Report_005,1,3.0,2,3,0.667,0,0,0,0.5,22.0,22.5,8.0,4.8,4.002,0.0,-0.0,61.302,61.3,61.3,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0019,Funder_002 -> Intermediary_002 -> Proxy_004 -> Campaign_004,1,3.0,2,3,0.667,0,0,0,0.5,22.0,22.5,8.0,4.8,4.002,0.0,-0.0,61.302,61.3,61.3,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0044,Funder_L003 -> Intermediary_L003 -> Proxy_L003 -> Campaign_L003,1,3.0,2,3,0.667,0,0,0,0.5,22.0,22.5,8.0,4.8,4.002,0.0,-0.0,61.302,61.3,61.3,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0048,Funder_L007 -> Intermediary_L007 -> Proxy_L007 -> Campaign_L007,1,3.0,2,3,0.667,0,0,0,0.5,22.0,22.5,8.0,4.8,4.002,0.0,-0.0,61.302,61.3,61.3,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0046,Funder_L005 -> Intermediary_L005 -> Proxy_L005 -> Campaign_L005,1,3.0,2,3,0.667,0,0,0,0.5,22.0,22.5,8.0,4.8,4.002,0.0,-0.0,61.302,61.3,61.3,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0003,Funder_000 -> Intermediary_000 -> Campaign_EC04,1,3.0,2,2,0.5,0,1,0,0.5,22.0,22.5,8.0,3.2,3.0,2.5,-0.0,61.2,61.2,63.7,2.5,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0022,Funder_002 -> Intermediary_002 -> Campaign_L001,1,3.0,2,2,0.5,0,1,0,0.5,22.0,22.5,8.0,3.2,3.0,2.5,-0.0,61.2,61.2,63.7,2.5,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0008,Funder_000 -> Intermediary_000 -> Campaign_010,1,3.0,2,2,0.5,1,0,0,0.5,22.0,22.5,8.0,3.2,3.0,2.0,-0.0,60.7,60.7,62.7,2.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0012,Funder_001 -> Intermediary_001 -> Campaign_EC02,1,3.0,2,2,0.5,1,0,0,0.5,22.0,22.5,8.0,3.2,3.0,2.0,-0.0,60.7,60.7,62.7,2.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0024,Funder_002 -> Intermediary_002 -> Campaign_EC04,1,3.0,2,2,0.5,1,0,0,0.5,22.0,22.5,8.0,3.2,3.0,2.0,-0.0,60.7,60.7,62.7,2.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0005,Funder_000 -> Intermediary_000 -> Proxy_001 -> Report_001,1,3.0,2,3,0.333,0,0,0,0.5,22.0,22.5,8.0,4.8,1.998,0.0,-0.0,59.298,59.3,59.3,0.0,60.0,0,1,funding_and_min_grade_2_v1,,0,0
CAND_0010,Funder_001 -> Intermediary_001 -> Proxy_002 -> Campaign_002,1,2.667,2,3,0.333,0,1,0,0.5,22.0,20.002,8.0,4.8,1.998,2.5,-0.0,59.3,59.3,61.8,2.5,60.0,0,1,funding_and_min_grade_2_v1,,0,0
CAND_0027,Funder_003 -> Intermediary_003 -> Campaign_EC02,1,3.0,2,2,0.5,0,0,0,0.5,22.0,22.5,8.0,3.2,3.0,0.0,-0.0,58.7,58.7,58.7,0.0,60.0,0,1,funding_and_min_grade_2_v1,,0,0
CAND_0002,Funder_000 -> Intermediary_000 -> Campaign_006,1,3.0,2,2,0.5,0,0,0,0.5,22.0,22.5,8.0,3.2,3.0,0.0,-0.0,58.7,58.7,58.7,0.0,60.0,0,1,funding_and_min_grade_2_v1,,0,0
