surface_a,surface_b,token_similarity,char_similarity,decision_zone,proposed_decision,ground_truth_decision,outcome,correct,pair_type
Health_Alliance_Alpha,Health_Alliance_Beta,0.5,0.829,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend
Health_Alliance_Alpha,Public_Choice_Branch,0.0,0.293,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Public_Choice_Branches,0.0,0.279,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Civic_Forum_Alpha,0.2,0.368,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Civic_Forum_Beta,0.0,0.108,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Policy_Council_Branch,0.0,0.286,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Policy_Council_Branches,0.0,0.273,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Wellness_League_Alpha,0.2,0.429,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Wellness_League_Beta,0.0,0.244,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Reform_Circle_Branch,0.0,0.341,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Reform_Circle_Branches,0.0,0.326,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Liberty_Board_Alpha,0.2,0.45,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Liberty_Board_Beta,0.0,0.256,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Standards_Coalition_Branch,0.0,0.34,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Standards_Coalition_Branches,0.0,0.327,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Data_Institute_Alpha,0.2,0.585,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Data_Institute_Beta,0.0,0.4,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Citizen_Trust_Branch,0.0,0.341,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Citizen_Trust_Branches,0.0,0.326,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Research_Society_Gamma,0.0,0.279,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Research_Society_Gamma_Group,0.0,0.327,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Gamma_Research_Network,0.0,0.279,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Market_Union_Delta,0.0,0.205,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Market_Union_Delta_Group,0.0,0.222,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Consumer_Partnership_Sigma,0.0,0.085,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Consumer_Partnership_Sigma_Group,0.0,0.151,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Global_Assembly_Omega,0.0,0.286,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Global_Assembly_Omega_Group,0.0,0.333,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Regional_Foundation_Theta,0.0,0.13,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
