surface_a,surface_b,token_similarity,char_similarity,decision_zone,proposed_decision,ground_truth_decision,outcome,correct,pair_type,expected_merge_decision,explanation
Health_Alliance_Alpha,Health_Alliance_Beta,0.5,0.829,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Public_Choice_Branch,Public_Choice_Branches,0.5,0.952,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Civic_Forum_Alpha,Civic_Forum_Beta,0.5,0.788,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Policy_Council_Branch,Policy_Council_Branches,0.5,0.955,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Wellness_League_Alpha,Wellness_League_Beta,0.5,0.829,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Reform_Circle_Branch,Reform_Circle_Branches,0.5,0.952,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Liberty_Board_Alpha,Liberty_Board_Beta,0.5,0.811,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Standards_Coalition_Branch,Standards_Coalition_Branches,0.5,0.963,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Data_Institute_Alpha,Data_Institute_Beta,0.5,0.821,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Citizen_Trust_Branch,Citizen_Trust_Branches,0.5,0.952,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Research_Society_Gamma,Research_Society_Gamma_Group,0.75,0.88,auto_merge,merge,merge,correct_auto_merge,True,true_alias,merge,token similarity 0.75 reaches the auto-merge threshold; the aliases are linked (correct_auto_merge).
Market_Union_Delta,Market_Union_Delta_Group,0.75,0.857,auto_merge,merge,merge,correct_auto_merge,True,true_alias,merge,token similarity 0.75 reaches the auto-merge threshold; the aliases are linked (correct_auto_merge).
Consumer_Partnership_Sigma,Consumer_Partnership_Sigma_Group,0.75,0.897,auto_merge,merge,merge,correct_auto_merge,True,true_alias,merge,token similarity 0.75 reaches the auto-merge threshold; the aliases are linked (correct_auto_merge).
Global_Assembly_Omega,Global_Assembly_Omega_Group,0.75,0.875,auto_merge,merge,merge,correct_auto_merge,True,true_alias,merge,token similarity 0.75 reaches the auto-merge threshold; the aliases are linked (correct_auto_merge).
Regional_Foundation_Theta,Regional_Foundation_Theta_Group,0.75,0.893,auto_merge,merge,merge,correct_auto_merge,True,true_alias,merge,token similarity 0.75 reaches the auto-merge threshold; the aliases are linked (correct_auto_merge).
National_Choice_Lambda,National_Choice_Lambda_Group,0.75,0.88,auto_merge,merge,merge,correct_auto_merge,True,true_alias,merge,token similarity 0.75 reaches the auto-merge threshold; the aliases are linked (correct_auto_merge).
Research_Society_Gamma,Gamma_Research_Network,0.5,0.5,refer_to_human,do_not_merge,merge,referred_true_alias,False,true_alias,merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a true-alias pair - is referred to the human review queue rather than decided automatically (referred)."
Research_Society_Gamma_Group,Gamma_Research_Network,0.4,0.48,refer_to_human,do_not_merge,merge,referred_true_alias,False,true_alias,merge,"token similarity 0.40 falls in the ambiguous band, so the pair - a true-alias pair - is referred to the human review queue rather than decided automatically (referred)."
