control_id,control_type,nodes,attached_to,edges,expected_priority,expected_flag_status,review_priority_score,score_threshold_crossed,eligible_for_high_priority,eligibility_rule_version,ineligible_reason,high_priority_review,flagged
NC_000,isolated,IndependentControl_000; Event_Ind_000,,IndependentControl_000-[co_occurs_with]->Event_Ind_000,0.0,do_not_flag,19.1,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_001,isolated,IndependentControl_001; Report_Ind_001,,IndependentControl_001-[no_known_link]->Report_Ind_001,0.0,do_not_flag,7.6,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_002,isolated,IndependentControl_002; SocialAccount_Ind_002; MediaOutlet_Ind_002,,IndependentControl_002-[no_known_link]->SocialAccount_Ind_002; SocialAccount_Ind_002-[co_occurs_with]->MediaOutlet_Ind_002,0.0,do_not_flag,12.95,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_003,isolated,IndependentControl_003; Event_Ind_003,,IndependentControl_003-[co_occurs_with]->Event_Ind_003,0.0,do_not_flag,19.1,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_004,isolated,IndependentControl_004; Report_Ind_004,,IndependentControl_004-[no_known_link]->Report_Ind_004,0.0,do_not_flag,7.6,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_005,isolated,IndependentControl_005; SocialAccount_Ind_005; MediaOutlet_Ind_005,,IndependentControl_005-[no_known_link]->SocialAccount_Ind_005; SocialAccount_Ind_005-[co_occurs_with]->MediaOutlet_Ind_005,0.0,do_not_flag,12.95,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_006,isolated,IndependentControl_006; Event_Ind_006,,IndependentControl_006-[co_occurs_with]->Event_Ind_006,0.0,do_not_flag,19.1,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_007,isolated,IndependentControl_007; Report_Ind_007,,IndependentControl_007-[no_known_link]->Report_Ind_007,0.0,do_not_flag,7.6,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_008,isolated,IndependentControl_008; SocialAccount_Ind_008; MediaOutlet_Ind_008,,IndependentControl_008-[no_known_link]->SocialAccount_Ind_008; SocialAccount_Ind_008-[co_occurs_with]->MediaOutlet_Ind_008,0.0,do_not_flag,12.95,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_009,isolated,IndependentControl_009; Event_Ind_009,,IndependentControl_009-[co_occurs_with]->Event_Ind_009,0.0,do_not_flag,19.1,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_010,isolated,IndependentControl_010; Report_Ind_010,,IndependentControl_010-[no_known_link]->Report_Ind_010,0.0,do_not_flag,7.6,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_011,isolated,IndependentControl_011; SocialAccount_Ind_011; MediaOutlet_Ind_011,,IndependentControl_011-[no_known_link]->SocialAccount_Ind_011; SocialAccount_Ind_011-[co_occurs_with]->MediaOutlet_Ind_011,0.0,do_not_flag,12.95,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_012,isolated,IndependentControl_012; Event_Ind_012,,IndependentControl_012-[co_occurs_with]->Event_Ind_012,0.0,do_not_flag,19.1,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_013,isolated,IndependentControl_013; Report_Ind_013,,IndependentControl_013-[no_known_link]->Report_Ind_013,0.0,do_not_flag,7.6,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_014,isolated,IndependentControl_014; SocialAccount_Ind_014; MediaOutlet_Ind_014,,IndependentControl_014-[no_known_link]->SocialAccount_Ind_014; SocialAccount_Ind_014-[co_occurs_with]->MediaOutlet_Ind_014,0.0,do_not_flag,12.95,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_015,isolated,IndependentControl_015; Event_Ind_015,,IndependentControl_015-[co_occurs_with]->Event_Ind_015,0.0,do_not_flag,19.1,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_016,isolated,IndependentControl_016; Report_Ind_016,,IndependentControl_016-[no_known_link]->Report_Ind_016,0.0,do_not_flag,7.6,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_017,isolated,IndependentControl_017; SocialAccount_Ind_017; MediaOutlet_Ind_017,,IndependentControl_017-[no_known_link]->SocialAccount_Ind_017; SocialAccount_Ind_017-[co_occurs_with]->MediaOutlet_Ind_017,0.0,do_not_flag,12.95,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_018,isolated,IndependentControl_018; Event_Ind_018,,IndependentControl_018-[co_occurs_with]->Event_Ind_018,0.0,do_not_flag,19.1,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_019,isolated,IndependentControl_019; Report_Ind_019,,IndependentControl_019-[no_known_link]->Report_Ind_019,0.0,do_not_flag,7.6,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_020,isolated,IndependentControl_020; SocialAccount_Ind_020; MediaOutlet_Ind_020,,IndependentControl_020-[no_known_link]->SocialAccount_Ind_020; SocialAccount_Ind_020-[co_occurs_with]->MediaOutlet_Ind_020,0.0,do_not_flag,12.95,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_021,isolated,IndependentControl_021; Event_Ind_021,,IndependentControl_021-[co_occurs_with]->Event_Ind_021,0.0,do_not_flag,19.1,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_022,isolated,IndependentControl_022; Report_Ind_022,,IndependentControl_022-[no_known_link]->Report_Ind_022,0.0,do_not_flag,7.6,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
NC_023,isolated,IndependentControl_023; SocialAccount_Ind_023; MediaOutlet_Ind_023,,IndependentControl_023-[no_known_link]->SocialAccount_Ind_023; SocialAccount_Ind_023-[co_occurs_with]->MediaOutlet_Ind_023,0.0,do_not_flag,12.95,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
EC_01,embedded,EmbeddedControl_01; Report_EC01,Intermediary_000,Intermediary_000-[co_occurs_with]->EmbeddedControl_01; EmbeddedControl_01-[co_occurs_with]->Report_EC01,below threshold,do_not_flag,19.1,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
EC_02,embedded,EmbeddedControl_02; Campaign_EC02,Intermediary_001,Intermediary_001-[co_occurs_with]->EmbeddedControl_02; EmbeddedControl_02-[shares_link]->Campaign_EC02,below threshold,do_not_flag,30.6,0,0,funding_and_min_grade_2_v1,missing_funding_edge,0,0
EC_03,embedded,EmbeddedControl_03; Report_EC03,Intermediary_002,Intermediary_002-[co_occurs_with]->EmbeddedControl_03; EmbeddedControl_03-[co_occurs_with]->Report_EC03,below threshold,do_not_flag,19.1,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
