candidate_id,node_sequence,edge_types,evidence_grades,n_evidence_types,temporal_clustering_score,semantic_similarity_score,amplification_score,review_priority_score,score_ungated_ablation,score_threshold_crossed,eligible_for_high_priority,eligibility_rule_version,ineligible_reason,high_priority_review,path_length,has_funding_edge,has_active_noise,is_weak_chain,touches_embedded_control,ground_truth_label,flagged
CAND_0010,Funder_001 -> Intermediary_001 -> Campaign_024,funds -> partners_with,4 -> 3,2,1.0,0.0,0.0,69.45,69.45,1,1,funding_and_min_grade_2_v1,,1,2,1,1,0,0,0,1
CAND_0048,Funder_005 -> Intermediary_005 -> Campaign_EC08,funds -> partners_with,4 -> 3,2,1.0,0.0,0.0,69.45,69.45,1,1,funding_and_min_grade_2_v1,,1,2,1,1,0,0,0,1
CAND_0076,Funder_009 -> Intermediary_009 -> Campaign_L003,funds -> partners_with,4 -> 3,2,1.0,0.0,0.0,69.45,69.45,1,1,funding_and_min_grade_2_v1,,1,2,1,1,0,0,0,1
CAND_0030,Funder_003 -> Intermediary_003 -> Event_003 -> Report_003,funds -> hosts -> publishes,4 -> 3 -> 3,3,0.667,0.0,0.0,67.8,67.8,1,1,funding_and_min_grade_2_v1,,1,3,1,0,0,0,1,1
CAND_0035,Funder_004 -> Intermediary_004 -> Proxy_004 -> Campaign_004,funds -> partners_with -> hosts,4 -> 3 -> 3,3,0.667,0.0,0.0,67.8,67.8,1,1,funding_and_min_grade_2_v1,,1,3,1,0,0,0,1,1
CAND_0088,Funder_019 -> Intermediary_019 -> Event_019 -> Report_019,funds -> hosts -> publishes,4 -> 3 -> 3,3,0.667,0.0,0.0,67.8,67.8,1,1,funding_and_min_grade_2_v1,,1,3,1,0,0,0,1,1
CAND_0058,Funder_007 -> Intermediary_007 -> Event_007 -> Report_007,funds -> hosts -> publishes,4 -> 3 -> 3,3,0.667,0.0,0.0,67.8,67.8,1,1,funding_and_min_grade_2_v1,,1,3,1,0,0,0,1,1
CAND_0004,Funder_000 -> Intermediary_000 -> Proxy_000 -> Campaign_000,funds -> partners_with -> hosts,4 -> 3 -> 3,3,0.667,0.0,0.0,67.8,67.8,1,1,funding_and_min_grade_2_v1,,1,3,1,0,0,0,1,1
CAND_0085,Funder_016 -> Intermediary_016 -> Proxy_016 -> Campaign_016,funds -> partners_with -> hosts,4 -> 3 -> 3,3,0.667,0.0,0.0,67.8,67.8,1,1,funding_and_min_grade_2_v1,,1,3,1,0,0,0,1,1
CAND_0080,Funder_011 -> Intermediary_011 -> Event_011 -> Report_011,funds -> hosts -> publishes,4 -> 3 -> 3,3,0.667,0.0,0.0,67.8,67.8,1,1,funding_and_min_grade_2_v1,,1,3,1,0,0,0,1,1
CAND_0084,Funder_015 -> Intermediary_015 -> Event_015 -> Report_015,funds -> hosts -> publishes,4 -> 3 -> 3,3,0.667,0.0,0.0,67.8,67.8,1,1,funding_and_min_grade_2_v1,,1,3,1,0,0,0,1,1
