surface_a,surface_b,token_similarity,char_similarity,decision_zone,proposed_decision,ground_truth_decision,outcome,correct,pair_type,expected_merge_decision,explanation
Health_Alliance_Alpha,Health_Alliance_Beta,0.5,0.829,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Public_Choice_Branch,Public_Choice_Branches,0.5,0.952,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Public_Choice_Branch,National_Choice_Branch,0.5,0.714,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Public_Choice_Branches,National_Choice_Branches,0.5,0.739,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Civic_Forum_Alpha,Civic_Forum_Beta,0.5,0.788,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Civic_Forum_Alpha,Open_Forum_Alpha,0.5,0.727,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Civic_Forum_Beta,Open_Forum_Beta,0.5,0.71,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Policy_Council_Branch,Policy_Council_Branches,0.5,0.955,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Policy_Council_Branch,Future_Council_Branch,0.5,0.714,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Policy_Council_Branches,Future_Council_Branches,0.5,0.739,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Wellness_League_Alpha,Wellness_League_Beta,0.5,0.829,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Reform_Circle_Branch,Reform_Circle_Branches,0.5,0.952,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Liberty_Board_Alpha,Liberty_Board_Beta,0.5,0.811,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Standards_Coalition_Branch,Standards_Coalition_Branches,0.5,0.963,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Data_Institute_Alpha,Data_Institute_Beta,0.5,0.821,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Citizen_Trust_Branch,Citizen_Trust_Branches,0.5,0.952,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Research_Society_Alpha,Research_Society_Beta,0.5,0.837,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Market_Union_Branch,Market_Union_Branches,0.5,0.95,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Consumer_Partnership_Alpha,Consumer_Partnership_Beta,0.5,0.863,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Global_Assembly_Branch,Global_Assembly_Branches,0.5,0.957,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Regional_Foundation_Alpha,Regional_Foundation_Beta,0.5,0.857,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
National_Choice_Branch,National_Choice_Branches,0.5,0.957,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Open_Forum_Alpha,Open_Forum_Beta,0.5,0.774,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Future_Council_Branch,Future_Council_Branches,0.5,0.955,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend,do_not_merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a distinct (false-friend) pair - is referred to the human review queue rather than decided automatically (referred)."
Common_League_Gamma,Common_League_Gamma_Group,0.75,0.864,auto_merge,merge,merge,correct_auto_merge,True,true_alias,merge,token similarity 0.75 reaches the auto-merge threshold; the aliases are linked (correct_auto_merge).
