id,candidate_id,node_sequence,edge_sequence,evidence_grades,edge_provenance,evidence_snippets,review_priority_score,triage_threshold,score_threshold_crossed,eligible_for_high_priority,eligibility_rule_version,ineligible_reason,high_priority_review,flagged,ground_truth_label,is_weak_chain,touches_embedded_control,classification,explanation,recommended_action
GT_PATH_003,CAND_0030,Funder_003 -> Intermediary_003 -> Event_003 -> Report_003,funds -> hosts -> publishes,4 -> 3 -> 3,ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_003 is listed as providing funding to Intermediary_003 during Phase_01. || Synthetic record: Intermediary_003 is listed as a host of Event_003 during Phase_01. || Synthetic record: Event_003 is listed as the publisher of Report_003 during Phase_02.,67.8,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 67.80 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 3, mean grade 3.33; documentary continuity maintained across all hops.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_004,CAND_0035,Funder_004 -> Intermediary_004 -> Proxy_004 -> Campaign_004,funds -> partners_with -> hosts,4 -> 3 -> 3,ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_004 is listed as providing funding to Intermediary_004 during Phase_01. || Synthetic record: Intermediary_004 is described as a partner of Proxy_004 during Phase_01. || Synthetic record: Proxy_004 is listed as a host of Campaign_004 during Phase_02.,67.8,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 67.80 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 3, mean grade 3.33; documentary continuity maintained across all hops.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_019,CAND_0088,Funder_019 -> Intermediary_019 -> Event_019 -> Report_019,funds -> hosts -> publishes,4 -> 3 -> 3,ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_019 is listed as providing funding to Intermediary_019 during Phase_01. || Synthetic record: Intermediary_019 is listed as a host of Event_019 during Phase_01. || Synthetic record: Event_019 is listed as the publisher of Report_019 during Phase_02.,67.8,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 67.80 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 3, mean grade 3.33; documentary continuity maintained across all hops.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_007,CAND_0058,Funder_007 -> Intermediary_007 -> Event_007 -> Report_007,funds -> hosts -> publishes,4 -> 3 -> 3,ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_007 is listed as providing funding to Intermediary_007 during Phase_01. || Synthetic record: Intermediary_007 is listed as a host of Event_007 during Phase_01. || Synthetic record: Event_007 is listed as the publisher of Report_007 during Phase_02.,67.8,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 67.80 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 3, mean grade 3.33; documentary continuity maintained across all hops.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_000,CAND_0004,Funder_000 -> Intermediary_000 -> Proxy_000 -> Campaign_000,funds -> partners_with -> hosts,4 -> 3 -> 3,ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_000 is listed as providing funding to Intermediary_000 during Phase_01. || Synthetic record: Intermediary_000 is described as a partner of Proxy_000 during Phase_01. || Synthetic record: Proxy_000 is listed as a host of Campaign_000 during Phase_02.,67.8,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 67.80 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 3, mean grade 3.33; documentary continuity maintained across all hops.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_016,CAND_0085,Funder_016 -> Intermediary_016 -> Proxy_016 -> Campaign_016,funds -> partners_with -> hosts,4 -> 3 -> 3,ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_016 is listed as providing funding to Intermediary_016 during Phase_01. || Synthetic record: Intermediary_016 is described as a partner of Proxy_016 during Phase_01. || Synthetic record: Proxy_016 is listed as a host of Campaign_016 during Phase_02.,67.8,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 67.80 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 3, mean grade 3.33; documentary continuity maintained across all hops.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_011,CAND_0080,Funder_011 -> Intermediary_011 -> Event_011 -> Report_011,funds -> hosts -> publishes,4 -> 3 -> 3,ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_011 is listed as providing funding to Intermediary_011 during Phase_01. || Synthetic record: Intermediary_011 is listed as a host of Event_011 during Phase_01. || Synthetic record: Event_011 is listed as the publisher of Report_011 during Phase_02.,67.8,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 67.80 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 3, mean grade 3.33; documentary continuity maintained across all hops.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_015,CAND_0084,Funder_015 -> Intermediary_015 -> Event_015 -> Report_015,funds -> hosts -> publishes,4 -> 3 -> 3,ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_015 is listed as providing funding to Intermediary_015 during Phase_01. || Synthetic record: Intermediary_015 is listed as a host of Event_015 during Phase_01. || Synthetic record: Event_015 is listed as the publisher of Report_015 during Phase_02.,67.8,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 67.80 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 3, mean grade 3.33; documentary continuity maintained across all hops.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_012,CAND_0081,Funder_012 -> Intermediary_012 -> Proxy_012 -> Campaign_012,funds -> partners_with -> hosts,4 -> 3 -> 3,ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_012 is listed as providing funding to Intermediary_012 during Phase_01. || Synthetic record: Intermediary_012 is described as a partner of Proxy_012 during Phase_01. || Synthetic record: Proxy_012 is listed as a host of Campaign_012 during Phase_02.,67.8,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 67.80 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 3, mean grade 3.33; documentary continuity maintained across all hops.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_008,CAND_0065,Funder_008 -> Intermediary_008 -> Proxy_008 -> Campaign_008,funds -> partners_with -> hosts,4 -> 3 -> 3,ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_008 is listed as providing funding to Intermediary_008 during Phase_01. || Synthetic record: Intermediary_008 is described as a partner of Proxy_008 during Phase_01. || Synthetic record: Proxy_008 is listed as a host of Campaign_008 during Phase_02.,67.8,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 67.80 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 3, mean grade 3.33; documentary continuity maintained across all hops.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
