path_id,node_sequence,edge_types,path_length,evidence_grades,max_evidence_grade,mean_evidence_grade,expected_review_priority,is_true_seeded_proxy_path
GT_PATH_000,Funder_000 -> Intermediary_000 -> Proxy_000 -> Campaign_000,funds -> partners_with -> hosts,3,4 -> 3 -> 3,4,3.333,high,True
GT_PATH_001,Funder_001 -> Intermediary_001 -> Event_001 -> Proxy_001 -> Report_001,funds -> hosts -> speaks_at -> publishes,4,4 -> 3 -> 3 -> 3,4,3.25,high,True
GT_PATH_002,Funder_002 -> Intermediary_002 -> Proxy_002 -> Campaign_002,funds -> partners_with -> amplifies,3,4 -> 3 -> 2,4,3.0,high,True
GT_PATH_003,Funder_003 -> Intermediary_003 -> Event_003 -> Report_003,funds -> hosts -> publishes,3,4 -> 3 -> 3,4,3.333,high,True
GT_PATH_004,Funder_004 -> Intermediary_004 -> Proxy_004 -> Campaign_004,funds -> partners_with -> hosts,3,4 -> 3 -> 3,4,3.333,high,True
GT_PATH_005,Funder_005 -> Intermediary_005 -> Event_005 -> Proxy_005 -> Report_005,funds -> hosts -> speaks_at -> publishes,4,4 -> 3 -> 3 -> 3,4,3.25,high,True
GT_PATH_006,Funder_006 -> Intermediary_006 -> Proxy_006 -> Campaign_006,funds -> partners_with -> amplifies,3,4 -> 3 -> 2,4,3.0,high,True
GT_PATH_007,Funder_007 -> Intermediary_007 -> Event_007 -> Report_007,funds -> hosts -> publishes,3,4 -> 3 -> 3,4,3.333,high,True
GT_PATH_008,Funder_008 -> Intermediary_008 -> Proxy_008 -> Campaign_008,funds -> partners_with -> hosts,3,4 -> 3 -> 3,4,3.333,high,True
GT_PATH_009,Funder_009 -> Intermediary_009 -> Event_009 -> Proxy_009 -> Report_009,funds -> hosts -> speaks_at -> publishes,4,4 -> 3 -> 3 -> 3,4,3.25,high,True
GT_PATH_010,Funder_010 -> Intermediary_010 -> Proxy_010 -> Campaign_010,funds -> partners_with -> amplifies,3,4 -> 3 -> 2,4,3.0,high,True
GT_PATH_011,Funder_011 -> Intermediary_011 -> Event_011 -> Report_011,funds -> hosts -> publishes,3,4 -> 3 -> 3,4,3.333,high,True
GT_PATH_012,Funder_012 -> Intermediary_012 -> Proxy_012 -> Campaign_012,funds -> partners_with -> hosts,3,4 -> 3 -> 3,4,3.333,high,True
GT_PATH_013,Funder_013 -> Intermediary_013 -> Event_013 -> Proxy_013 -> Report_013,funds -> hosts -> speaks_at -> publishes,4,4 -> 3 -> 3 -> 3,4,3.25,high,True
GT_PATH_014,Funder_014 -> Intermediary_014 -> Proxy_014 -> Campaign_014,funds -> partners_with -> amplifies,3,4 -> 3 -> 2,4,3.0,high,True
GT_PATH_015,Funder_015 -> Intermediary_015 -> Event_015 -> Report_015,funds -> hosts -> publishes,3,4 -> 3 -> 3,4,3.333,high,True
GT_PATH_016,Funder_016 -> Intermediary_016 -> Proxy_016 -> Campaign_016,funds -> partners_with -> hosts,3,4 -> 3 -> 3,4,3.333,high,True
GT_PATH_017,Funder_017 -> Intermediary_017 -> Event_017 -> Proxy_017 -> Report_017,funds -> hosts -> speaks_at -> publishes,4,4 -> 3 -> 3 -> 3,4,3.25,high,True
GT_PATH_018,Funder_018 -> Intermediary_018 -> Proxy_018 -> Campaign_018,funds -> partners_with -> amplifies,3,4 -> 3 -> 2,4,3.0,high,True
GT_PATH_019,Funder_019 -> Intermediary_019 -> Event_019 -> Report_019,funds -> hosts -> publishes,3,4 -> 3 -> 3,4,3.333,high,True
GT_PATH_020,Funder_020 -> Intermediary_020 -> Proxy_020 -> Campaign_020,funds -> partners_with -> hosts,3,4 -> 3 -> 3,4,3.333,high,True
GT_PATH_021,Funder_021 -> Intermediary_021 -> Event_021 -> Proxy_021 -> Report_021,funds -> hosts -> speaks_at -> publishes,4,4 -> 3 -> 3 -> 3,4,3.25,high,True
GT_PATH_022,Funder_022 -> Intermediary_022 -> Proxy_022 -> Campaign_022,funds -> partners_with -> amplifies,3,4 -> 3 -> 2,4,3.0,high,True
GT_PATH_023,Funder_023 -> Intermediary_023 -> Event_023 -> Report_023,funds -> hosts -> publishes,3,4 -> 3 -> 3,4,3.333,high,True
GT_PATH_024,Funder_024 -> Intermediary_024 -> Proxy_024 -> Campaign_024,funds -> partners_with -> hosts,3,4 -> 3 -> 3,4,3.333,high,True
GT_PATH_025,Funder_025 -> Intermediary_025 -> Event_025 -> Proxy_025 -> Report_025,funds -> hosts -> speaks_at -> publishes,4,4 -> 3 -> 3 -> 3,4,3.25,high,True
