candidate_id,node_sequence,has_funding_edge,mean_grade,min_grade,n_evidence_types,temporal_clustering,semantic_similarity,amplification,cooccurrence,support_factor,term_funding,term_mean_grade,term_min_grade,term_evidence_types,term_temporal,term_supporting,penalty_length,raw_score,final_score,score_ungated_ablation,gate_contribution,triage_threshold,score_threshold_crossed,eligible_for_high_priority,eligibility_rule_version,ineligible_reason,high_priority_review,flagged
CAND_0002,Funder_01 -> Intermediary_Alpha -> Proxy_X -> Campaign_Y,1,3.333,3,3,0.667,0,0,0,0.75,22.0,24.998,12.0,4.8,4.002,0.0,-0.0,67.799,67.8,67.8,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0004,Funder_01 -> Intermediary_Delta -> Event_D -> Report_R,1,3.333,3,3,0.667,0,0,0,0.75,22.0,24.998,12.0,4.8,4.002,0.0,-0.0,67.799,67.8,67.8,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0006,Funder_02 -> Intermediary_Beta -> Event_C -> Proxy_Z -> Report_Q,1,3.25,3,4,0.5,0,0,0,0.75,22.0,24.375,12.0,6.4,3.0,0.0,-2.0,65.775,65.78,65.78,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0007,Funder_03 -> Intermediary_Gamma -> Proxy_W -> Campaign_V,1,3.0,2,3,0.667,0,1,0,0.5,22.0,22.5,8.0,4.8,4.002,2.5,-0.0,63.802,63.8,66.3,2.5,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0008,Funder_03 -> Intermediary_Gamma -> Proxy_W -> Campaign_Y,1,3.0,2,3,0.667,0,0,0,0.5,22.0,22.5,8.0,4.8,4.002,0.0,-0.0,61.302,61.3,61.3,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0005,Funder_02 -> Intermediary_Beta -> Report_R,1,2.5,1,2,1.0,0,0,0,0.25,22.0,18.75,4.0,3.2,6.0,0.0,-0.0,53.95,53.95,53.95,0.0,60.0,0,0,funding_and_min_grade_2_v1,minimum_evidence_grade_below_2,0,0
CAND_0003,Funder_01 -> Intermediary_Alpha -> Proxy_X -> EmbeddedControl_02 -> Campaign_EC02,1,2.5,1,4,0.5,0,0,1,0.25,22.0,18.75,4.0,6.4,3.0,1.0,-2.0,53.15,53.15,56.15,3.0,60.0,0,0,funding_and_min_grade_2_v1,minimum_evidence_grade_below_2,0,0
CAND_0001,Funder_01 -> Intermediary_Alpha -> EmbeddedControl_01 -> Report_EC01,1,2.0,1,2,0.333,0,0,1,0.25,22.0,15.0,4.0,3.2,1.998,1.0,-0.0,47.198,47.2,50.2,3.0,60.0,0,0,funding_and_min_grade_2_v1,minimum_evidence_grade_below_2,0,0
CAND_0010,Funder_W02 -> SocialAccount_WC02 -> MediaOutlet_WC02 -> Campaign_WC02,0,2.0,2,3,1.0,1,1,0,0.5,0.0,15.0,8.0,4.8,6.0,4.5,-0.0,38.3,38.3,42.8,4.5,60.0,0,0,funding_and_min_grade_2_v1,missing_funding_edge,0,0
CAND_0009,Funder_W01 -> SocialAccount_WC01 -> MediaOutlet_WC01 -> Proxy_WC01 -> Report_WC01,0,1.75,1,4,0.5,1,1,1,0.25,0.0,13.125,4.0,6.4,3.0,3.25,-2.0,27.775,27.77,37.52,9.75,60.0,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0
