entity_id,surface_form,canonical_id,is_true_alias,is_false_friend,expected_merge_decision
ER_FF_000_A,Health_Alliance_Alpha,CANON_FF_000_A,False,True,do_not_merge
ER_FF_000_B,Health_Alliance_Beta,CANON_FF_000_B,False,True,do_not_merge
ER_FF_001_A,Public_Choice_Branch,CANON_FF_001_A,False,True,do_not_merge
ER_FF_001_B,Public_Choice_Branches,CANON_FF_001_B,False,True,do_not_merge
ER_FF_002_A,Civic_Forum_Alpha,CANON_FF_002_A,False,True,do_not_merge
ER_FF_002_B,Civic_Forum_Beta,CANON_FF_002_B,False,True,do_not_merge
ER_FF_003_A,Policy_Council_Branch,CANON_FF_003_A,False,True,do_not_merge
ER_FF_003_B,Policy_Council_Branches,CANON_FF_003_B,False,True,do_not_merge
ER_FF_004_A,Wellness_League_Alpha,CANON_FF_004_A,False,True,do_not_merge
ER_FF_004_B,Wellness_League_Beta,CANON_FF_004_B,False,True,do_not_merge
ER_FF_005_A,Reform_Circle_Branch,CANON_FF_005_A,False,True,do_not_merge
ER_FF_005_B,Reform_Circle_Branches,CANON_FF_005_B,False,True,do_not_merge
ER_FF_006_A,Liberty_Board_Alpha,CANON_FF_006_A,False,True,do_not_merge
ER_FF_006_B,Liberty_Board_Beta,CANON_FF_006_B,False,True,do_not_merge
ER_FF_007_A,Standards_Coalition_Branch,CANON_FF_007_A,False,True,do_not_merge
ER_FF_007_B,Standards_Coalition_Branches,CANON_FF_007_B,False,True,do_not_merge
ER_FF_008_A,Data_Institute_Alpha,CANON_FF_008_A,False,True,do_not_merge
ER_FF_008_B,Data_Institute_Beta,CANON_FF_008_B,False,True,do_not_merge
ER_FF_009_A,Citizen_Trust_Branch,CANON_FF_009_A,False,True,do_not_merge
ER_FF_009_B,Citizen_Trust_Branches,CANON_FF_009_B,False,True,do_not_merge
ER_AL_000_0,Research_Society_Gamma,CANON_ALIAS_000,True,False,merge
ER_AL_000_1,Research_Society_Gamma_Group,CANON_ALIAS_000,True,False,merge
ER_AL_000_2,Gamma_Research_Network,CANON_ALIAS_000,True,False,merge
ER_AL_001_0,Market_Union_Delta,CANON_ALIAS_001,True,False,merge
ER_AL_001_1,Market_Union_Delta_Group,CANON_ALIAS_001,True,False,merge
ER_AL_002_0,Consumer_Partnership_Sigma,CANON_ALIAS_002,True,False,merge
ER_AL_002_1,Consumer_Partnership_Sigma_Group,CANON_ALIAS_002,True,False,merge
ER_AL_003_0,Global_Assembly_Omega,CANON_ALIAS_003,True,False,merge
ER_AL_003_1,Global_Assembly_Omega_Group,CANON_ALIAS_003,True,False,merge
ER_AL_004_0,Regional_Foundation_Theta,CANON_ALIAS_004,True,False,merge
ER_AL_004_1,Regional_Foundation_Theta_Group,CANON_ALIAS_004,True,False,merge
ER_AL_005_0,National_Choice_Lambda,CANON_ALIAS_005,True,False,merge
ER_AL_005_1,National_Choice_Lambda_Group,CANON_ALIAS_005,True,False,merge
