candidate_id,node_sequence,has_funding_edge,mean_grade,min_grade,n_evidence_types,temporal_clustering,semantic_similarity,amplification,cooccurrence,support_factor,term_funding,term_mean_grade,term_min_grade,term_evidence_types,term_temporal,term_supporting,penalty_length,raw_score,final_score,score_ungated_ablation,gate_contribution,triage_threshold,score_threshold_crossed,eligible_for_high_priority,eligibility_rule_version,ineligible_reason,high_priority_review,flagged
CAND_0010,Funder_001 -> Intermediary_001 -> Campaign_024,1,3.5,3,2,1.0,0,0,0,0.75,22.0,26.25,12.0,3.2,6.0,0.0,-0.0,69.45,69.45,69.45,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0048,Funder_005 -> Intermediary_005 -> Campaign_EC08,1,3.5,3,2,1.0,0,0,0,0.75,22.0,26.25,12.0,3.2,6.0,0.0,-0.0,69.45,69.45,69.45,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0076,Funder_009 -> Intermediary_009 -> Campaign_L003,1,3.5,3,2,1.0,0,0,0,0.75,22.0,26.25,12.0,3.2,6.0,0.0,-0.0,69.45,69.45,69.45,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0030,Funder_003 -> Intermediary_003 -> Event_003 -> Report_003,1,3.333,3,3,0.667,0,0,0,0.75,22.0,24.998,12.0,4.8,4.002,0.0,-0.0,67.799,67.8,67.8,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0035,Funder_004 -> Intermediary_004 -> Proxy_004 -> Campaign_004,1,3.333,3,3,0.667,0,0,0,0.75,22.0,24.998,12.0,4.8,4.002,0.0,-0.0,67.799,67.8,67.8,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0088,Funder_019 -> Intermediary_019 -> Event_019 -> Report_019,1,3.333,3,3,0.667,0,0,0,0.75,22.0,24.998,12.0,4.8,4.002,0.0,-0.0,67.799,67.8,67.8,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0058,Funder_007 -> Intermediary_007 -> Event_007 -> Report_007,1,3.333,3,3,0.667,0,0,0,0.75,22.0,24.998,12.0,4.8,4.002,0.0,-0.0,67.799,67.8,67.8,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0004,Funder_000 -> Intermediary_000 -> Proxy_000 -> Campaign_000,1,3.333,3,3,0.667,0,0,0,0.75,22.0,24.998,12.0,4.8,4.002,0.0,-0.0,67.799,67.8,67.8,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0085,Funder_016 -> Intermediary_016 -> Proxy_016 -> Campaign_016,1,3.333,3,3,0.667,0,0,0,0.75,22.0,24.998,12.0,4.8,4.002,0.0,-0.0,67.799,67.8,67.8,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0080,Funder_011 -> Intermediary_011 -> Event_011 -> Report_011,1,3.333,3,3,0.667,0,0,0,0.75,22.0,24.998,12.0,4.8,4.002,0.0,-0.0,67.799,67.8,67.8,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0084,Funder_015 -> Intermediary_015 -> Event_015 -> Report_015,1,3.333,3,3,0.667,0,0,0,0.75,22.0,24.998,12.0,4.8,4.002,0.0,-0.0,67.799,67.8,67.8,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0081,Funder_012 -> Intermediary_012 -> Proxy_012 -> Campaign_012,1,3.333,3,3,0.667,0,0,0,0.75,22.0,24.998,12.0,4.8,4.002,0.0,-0.0,67.799,67.8,67.8,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0065,Funder_008 -> Intermediary_008 -> Proxy_008 -> Campaign_008,1,3.333,3,3,0.667,0,0,0,0.75,22.0,24.998,12.0,4.8,4.002,0.0,-0.0,67.799,67.8,67.8,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0089,Funder_020 -> Intermediary_020 -> Proxy_020 -> Campaign_020,1,3.333,3,3,0.667,0,0,0,0.75,22.0,24.998,12.0,4.8,4.002,0.0,-0.0,67.799,67.8,67.8,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
CAND_0093,Funder_024 -> Intermediary_024 -> Proxy_024 -> Campaign_024,1,3.333,3,3,0.667,0,0,0,0.75,22.0,24.998,12.0,4.8,4.002,0.0,-0.0,67.799,67.8,67.8,0.0,60.0,1,1,funding_and_min_grade_2_v1,,1,1
