candidate_id,node_sequence,edge_types,evidence_grades,n_evidence_types,temporal_clustering_score,semantic_similarity_score,amplification_score,review_priority_score,score_ungated_ablation,score_threshold_crossed,eligible_for_high_priority,eligibility_rule_version,ineligible_reason,high_priority_review,path_length,has_funding_edge,has_active_noise,is_weak_chain,touches_embedded_control,ground_truth_label,flagged
CAND_0013,Funder_001 -> Intermediary_001 -> Campaign_L007,funds -> partners_with,4 -> 3,2,1.0,0.0,0.0,69.45,69.45,1,1,funding_and_min_grade_2_v1,,1,2,1,1,0,0,0,1
CAND_0006,Funder_000 -> Intermediary_000 -> Proxy_000 -> Campaign_000,funds -> partners_with -> hosts,4 -> 3 -> 3,3,0.667,0.0,0.0,67.8,67.8,1,1,funding_and_min_grade_2_v1,,1,3,1,0,0,0,1,1
CAND_0031,Funder_004 -> Intermediary_004 -> Proxy_004 -> Campaign_004,funds -> partners_with -> hosts,4 -> 3 -> 3,3,0.667,0.0,0.0,67.8,67.8,1,1,funding_and_min_grade_2_v1,,1,3,1,0,0,0,1,1
CAND_0036,Funder_007 -> Intermediary_007 -> Event_007 -> Report_007,funds -> hosts -> publishes,4 -> 3 -> 3,3,0.667,0.0,0.0,67.8,67.8,1,1,funding_and_min_grade_2_v1,,1,3,1,0,0,0,1,1
CAND_0037,Funder_008 -> Intermediary_008 -> Proxy_008 -> Campaign_008,funds -> partners_with -> hosts,4 -> 3 -> 3,3,0.667,0.0,0.0,67.8,67.8,1,1,funding_and_min_grade_2_v1,,1,3,1,0,0,0,1,1
CAND_0026,Funder_003 -> Intermediary_003 -> Event_003 -> Report_003,funds -> hosts -> publishes,4 -> 3 -> 3,3,0.667,0.0,0.0,67.8,67.8,1,1,funding_and_min_grade_2_v1,,1,3,1,0,0,0,1,1
CAND_0040,Funder_011 -> Intermediary_011 -> Event_011 -> Report_011,funds -> hosts -> publishes,4 -> 3 -> 3,3,0.667,0.0,0.0,67.8,67.8,1,1,funding_and_min_grade_2_v1,,1,3,1,0,0,0,1,1
CAND_0018,Funder_002 -> Intermediary_002 -> Campaign_WC02,funds -> partners_with,4 -> 3,2,0.5,0.0,0.0,66.45,66.45,1,1,funding_and_min_grade_2_v1,,1,2,1,1,0,0,0,1
CAND_0025,Funder_003 -> Intermediary_003 -> Campaign_WC04,funds -> partners_with,4 -> 3,2,0.5,0.0,0.0,66.45,66.45,1,1,funding_and_min_grade_2_v1,,1,2,1,1,0,0,0,1
CAND_0004,Funder_000 -> Intermediary_000 -> Campaign_L005,funds -> partners_with,4 -> 3,2,0.5,0.0,0.0,66.45,66.45,1,1,funding_and_min_grade_2_v1,,1,2,1,1,0,0,0,1
CAND_0033,Funder_005 -> Intermediary_005 -> Event_005 -> Proxy_005 -> Report_005,funds -> hosts -> speaks_at -> publishes,4 -> 3 -> 3 -> 3,4,0.5,0.0,0.0,65.78,65.78,1,1,funding_and_min_grade_2_v1,,1,4,1,0,0,0,1,1
CAND_0038,Funder_009 -> Intermediary_009 -> Event_009 -> Proxy_009 -> Report_009,funds -> hosts -> speaks_at -> publishes,4 -> 3 -> 3 -> 3,4,0.5,0.0,0.0,65.78,65.78,1,1,funding_and_min_grade_2_v1,,1,4,1,0,0,0,1,1
CAND_0011,Funder_001 -> Intermediary_001 -> Event_001 -> Proxy_001 -> Report_001,funds -> hosts -> speaks_at -> publishes,4 -> 3 -> 3 -> 3,4,0.5,0.0,0.0,65.78,65.78,1,1,funding_and_min_grade_2_v1,,1,4,1,0,0,0,1,1
CAND_0014,Funder_001 -> Intermediary_001 -> Campaign_EC06,funds -> amplifies,4 -> 2,2,1.0,0.0,1.0,64.2,66.7,1,1,funding_and_min_grade_2_v1,,1,2,1,1,0,0,0,1
CAND_0017,Funder_002 -> Intermediary_002 -> Proxy_002 -> Campaign_002,funds -> partners_with -> amplifies,4 -> 3 -> 2,3,0.667,0.0,1.0,63.8,66.3,1,1,funding_and_min_grade_2_v1,,1,3,1,0,0,0,1,1
CAND_0039,Funder_010 -> Intermediary_010 -> Proxy_010 -> Campaign_010,funds -> partners_with -> amplifies,4 -> 3 -> 2,3,0.667,0.0,1.0,63.8,66.3,1,1,funding_and_min_grade_2_v1,,1,3,1,0,0,0,1,1
CAND_0035,Funder_006 -> Intermediary_006 -> Proxy_006 -> Campaign_006,funds -> partners_with -> amplifies,4 -> 3 -> 2,3,0.667,0.0,1.0,63.8,66.3,1,1,funding_and_min_grade_2_v1,,1,3,1,0,0,0,1,1
CAND_0016,Funder_001 -> Intermediary_001 -> Campaign_008,funds -> shares_link,4 -> 2,2,1.0,0.0,0.0,61.7,61.7,1,1,funding_and_min_grade_2_v1,,1,2,1,1,0,0,0,1
CAND_0042,Funder_L001 -> Intermediary_L001 -> Proxy_L001 -> Campaign_L001,funds -> partners_with -> shares_link,4 -> 3 -> 2,3,0.667,0.0,0.0,61.3,61.3,1,1,funding_and_min_grade_2_v1,,1,3,1,0,0,0,0,1
CAND_0028,Funder_003 -> Intermediary_003 -> Proxy_005 -> Report_005,funds -> shares_link -> publishes,4 -> 2 -> 3,3,0.667,0.0,0.0,61.3,61.3,1,1,funding_and_min_grade_2_v1,,1,3,1,1,0,0,0,1
CAND_0019,Funder_002 -> Intermediary_002 -> Proxy_004 -> Campaign_004,funds -> shares_link -> hosts,4 -> 2 -> 3,3,0.667,0.0,0.0,61.3,61.3,1,1,funding_and_min_grade_2_v1,,1,3,1,1,0,0,0,1
