id,candidate_id,node_sequence,edge_sequence,evidence_grades,edge_provenance,evidence_snippets,review_priority_score,triage_threshold,score_threshold_crossed,eligible_for_high_priority,eligibility_rule_version,ineligible_reason,high_priority_review,flagged,ground_truth_label,is_weak_chain,touches_embedded_control,classification,explanation,recommended_action
GT_PATH_000,CAND_0006,Funder_000 -> Intermediary_000 -> Proxy_000 -> Campaign_000,funds -> partners_with -> hosts,4 -> 3 -> 3,ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_000 is listed as providing funding to Intermediary_000 during Phase_01. || Synthetic record: Intermediary_000 is described as a partner of Proxy_000 during Phase_01. || Synthetic record: Proxy_000 is listed as a host of Campaign_000 during Phase_02.,67.8,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 67.80 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 3, mean grade 3.33; documentary continuity maintained across all hops.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_004,CAND_0031,Funder_004 -> Intermediary_004 -> Proxy_004 -> Campaign_004,funds -> partners_with -> hosts,4 -> 3 -> 3,ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_004 is listed as providing funding to Intermediary_004 during Phase_01. || Synthetic record: Intermediary_004 is described as a partner of Proxy_004 during Phase_01. || Synthetic record: Proxy_004 is listed as a host of Campaign_004 during Phase_02.,67.8,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 67.80 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 3, mean grade 3.33; documentary continuity maintained across all hops.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_007,CAND_0036,Funder_007 -> Intermediary_007 -> Event_007 -> Report_007,funds -> hosts -> publishes,4 -> 3 -> 3,ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_007 is listed as providing funding to Intermediary_007 during Phase_01. || Synthetic record: Intermediary_007 is listed as a host of Event_007 during Phase_01. || Synthetic record: Event_007 is listed as the publisher of Report_007 during Phase_02.,67.8,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 67.80 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 3, mean grade 3.33; documentary continuity maintained across all hops.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_008,CAND_0037,Funder_008 -> Intermediary_008 -> Proxy_008 -> Campaign_008,funds -> partners_with -> hosts,4 -> 3 -> 3,ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_008 is listed as providing funding to Intermediary_008 during Phase_01. || Synthetic record: Intermediary_008 is described as a partner of Proxy_008 during Phase_01. || Synthetic record: Proxy_008 is listed as a host of Campaign_008 during Phase_02.,67.8,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 67.80 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 3, mean grade 3.33; documentary continuity maintained across all hops.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_003,CAND_0026,Funder_003 -> Intermediary_003 -> Event_003 -> Report_003,funds -> hosts -> publishes,4 -> 3 -> 3,ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_003 is listed as providing funding to Intermediary_003 during Phase_01. || Synthetic record: Intermediary_003 is listed as a host of Event_003 during Phase_01. || Synthetic record: Event_003 is listed as the publisher of Report_003 during Phase_02.,67.8,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 67.80 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 3, mean grade 3.33; documentary continuity maintained across all hops.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_011,CAND_0040,Funder_011 -> Intermediary_011 -> Event_011 -> Report_011,funds -> hosts -> publishes,4 -> 3 -> 3,ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_011 is listed as providing funding to Intermediary_011 during Phase_01. || Synthetic record: Intermediary_011 is listed as a host of Event_011 during Phase_01. || Synthetic record: Event_011 is listed as the publisher of Report_011 during Phase_02.,67.8,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 67.80 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 3, mean grade 3.33; documentary continuity maintained across all hops.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_005,CAND_0033,Funder_005 -> Intermediary_005 -> Event_005 -> Proxy_005 -> Report_005,funds -> hosts -> speaks_at -> publishes,4 -> 3 -> 3 -> 3,ground-truth -> ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_005 is listed as providing funding to Intermediary_005 during Phase_01. || Synthetic record: Intermediary_005 is listed as a host of Event_005 during Phase_01. || Synthetic record: a representative of Event_005 is listed as speaking at Proxy_005 during Phase_02. || Synthetic record: Proxy_005 is listed as the publisher of Report_005 during Phase_02.,65.78,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 65.78 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 3, mean grade 3.25; documentary continuity maintained across all hops.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_009,CAND_0038,Funder_009 -> Intermediary_009 -> Event_009 -> Proxy_009 -> Report_009,funds -> hosts -> speaks_at -> publishes,4 -> 3 -> 3 -> 3,ground-truth -> ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_009 is listed as providing funding to Intermediary_009 during Phase_01. || Synthetic record: Intermediary_009 is listed as a host of Event_009 during Phase_01. || Synthetic record: a representative of Event_009 is listed as speaking at Proxy_009 during Phase_02. || Synthetic record: Proxy_009 is listed as the publisher of Report_009 during Phase_02.,65.78,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 65.78 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 3, mean grade 3.25; documentary continuity maintained across all hops.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_001,CAND_0011,Funder_001 -> Intermediary_001 -> Event_001 -> Proxy_001 -> Report_001,funds -> hosts -> speaks_at -> publishes,4 -> 3 -> 3 -> 3,ground-truth -> ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_001 is listed as providing funding to Intermediary_001 during Phase_01. || Synthetic record: Intermediary_001 is listed as a host of Event_001 during Phase_01. || Synthetic record: a representative of Event_001 is listed as speaking at Proxy_001 during Phase_02. || Synthetic record: Proxy_001 is listed as the publisher of Report_001 during Phase_02.,65.78,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 65.78 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 3, mean grade 3.25; documentary continuity maintained across all hops.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_002,CAND_0017,Funder_002 -> Intermediary_002 -> Proxy_002 -> Campaign_002,funds -> partners_with -> amplifies,4 -> 3 -> 2,ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_002 is listed as providing funding to Intermediary_002 during Phase_01. || Synthetic record: Intermediary_002 is described as a partner of Proxy_002 during Phase_01. || Synthetic record: Proxy_002 repeatedly amplified output attributed to Campaign_002 during Phase_02.,63.8,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 63.80 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 2, mean grade 3.00; drops to a grade-2 shared-link/amplification hop.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_010,CAND_0039,Funder_010 -> Intermediary_010 -> Proxy_010 -> Campaign_010,funds -> partners_with -> amplifies,4 -> 3 -> 2,ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_010 is listed as providing funding to Intermediary_010 during Phase_01. || Synthetic record: Intermediary_010 is described as a partner of Proxy_010 during Phase_01. || Synthetic record: Proxy_010 repeatedly amplified output attributed to Campaign_010 during Phase_02.,63.8,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 63.80 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 2, mean grade 3.00; drops to a grade-2 shared-link/amplification hop.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_006,CAND_0035,Funder_006 -> Intermediary_006 -> Proxy_006 -> Campaign_006,funds -> partners_with -> amplifies,4 -> 3 -> 2,ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_006 is listed as providing funding to Intermediary_006 during Phase_01. || Synthetic record: Intermediary_006 is described as a partner of Proxy_006 during Phase_01. || Synthetic record: Proxy_006 repeatedly amplified output attributed to Campaign_006 during Phase_02.,63.8,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 63.80 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 2, mean grade 3.00; drops to a grade-2 shared-link/amplification hop.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
