candidate_id,node_sequence,edge_types,evidence_grades,n_evidence_types,temporal_clustering_score,semantic_similarity_score,amplification_score,review_priority_score,score_ungated_ablation,score_threshold_crossed,eligible_for_high_priority,eligibility_rule_version,ineligible_reason,high_priority_review,path_length,has_funding_edge,has_active_noise,is_weak_chain,touches_embedded_control,ground_truth_label,flagged
CAND_0002,Funder_01 -> Intermediary_Alpha -> Proxy_X -> Campaign_Y,funds -> partners_with -> hosts,4 -> 3 -> 3,3,0.667,0.0,0.0,67.8,67.8,1,1,funding_and_min_grade_2_v1,,1,3,1,0,0,0,1,1
CAND_0004,Funder_01 -> Intermediary_Delta -> Event_D -> Report_R,funds -> hosts -> publishes,4 -> 3 -> 3,3,0.667,0.0,0.0,67.8,67.8,1,1,funding_and_min_grade_2_v1,,1,3,1,0,0,0,1,1
CAND_0006,Funder_02 -> Intermediary_Beta -> Event_C -> Proxy_Z -> Report_Q,funds -> hosts -> speaks_at -> publishes,4 -> 3 -> 3 -> 3,4,0.5,0.0,0.0,65.78,65.78,1,1,funding_and_min_grade_2_v1,,1,4,1,0,0,0,1,1
CAND_0007,Funder_03 -> Intermediary_Gamma -> Proxy_W -> Campaign_V,funds -> partners_with -> amplifies,4 -> 3 -> 2,3,0.667,0.0,1.0,63.8,66.3,1,1,funding_and_min_grade_2_v1,,1,3,1,0,0,0,1,1
CAND_0008,Funder_03 -> Intermediary_Gamma -> Proxy_W -> Campaign_Y,funds -> partners_with -> shares_link,4 -> 3 -> 2,3,0.667,0.0,0.0,61.3,61.3,1,1,funding_and_min_grade_2_v1,,1,3,1,0,0,0,0,1
CAND_0005,Funder_02 -> Intermediary_Beta -> Report_R,funds -> co_occurs_with,4 -> 1,2,1.0,0.0,0.0,53.95,53.95,0,0,funding_and_min_grade_2_v1,minimum_evidence_grade_below_2,0,2,1,0,0,0,0,0
CAND_0003,Funder_01 -> Intermediary_Alpha -> Proxy_X -> EmbeddedControl_02 -> Campaign_EC02,funds -> partners_with -> co_occurs_with -> shares_link,4 -> 3 -> 1 -> 2,4,0.5,0.0,0.0,53.15,56.15,0,0,funding_and_min_grade_2_v1,minimum_evidence_grade_below_2,0,4,1,0,0,1,0,0
CAND_0001,Funder_01 -> Intermediary_Alpha -> EmbeddedControl_01 -> Report_EC01,funds -> co_occurs_with -> co_occurs_with,4 -> 1 -> 1,2,0.333,0.0,0.0,47.2,50.2,0,0,funding_and_min_grade_2_v1,minimum_evidence_grade_below_2,0,3,1,0,0,1,0,0
CAND_0010,Funder_W02 -> SocialAccount_WC02 -> MediaOutlet_WC02 -> Campaign_WC02,shares_link -> amplifies -> uses_similar_language,2 -> 2 -> 2,3,1.0,1.0,1.0,38.3,42.8,0,0,funding_and_min_grade_2_v1,missing_funding_edge,0,3,0,0,1,0,0,0
CAND_0009,Funder_W01 -> SocialAccount_WC01 -> MediaOutlet_WC01 -> Proxy_WC01 -> Report_WC01,co_occurs_with -> shares_link -> amplifies -> uses_similar_language,1 -> 2 -> 2 -> 2,4,0.5,1.0,1.0,27.77,37.52,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,4,0,0,1,0,0,0
