chain_id,node_sequence,edge_types,evidence_grades,max_evidence_grade,expected_flag_status,rationale
WC_01,Funder_W01 -> SocialAccount_WC01 -> MediaOutlet_WC01 -> Proxy_WC01 -> Report_WC01,co_occurs_with -> shares_link -> amplifies -> uses_similar_language,1 -> 2 -> 2 -> 2,2,do_not_flag,"weak signals only (every hop grade <= 2, no funding edge); must remain below the triage threshold"
WC_02,Funder_W02 -> SocialAccount_WC02 -> MediaOutlet_WC02 -> Campaign_WC02,shares_link -> amplifies -> uses_similar_language,2 -> 2 -> 2,2,do_not_flag,"weak signals only (every hop grade <= 2, no funding edge); must remain below the triage threshold"
WC_03,Funder_W03 -> SocialAccount_WC03 -> MediaOutlet_WC03 -> Proxy_WC03 -> Report_WC03,co_occurs_with -> shares_link -> amplifies -> uses_similar_language,1 -> 2 -> 2 -> 2,2,do_not_flag,"weak signals only (every hop grade <= 2, no funding edge); must remain below the triage threshold"
WC_04,Funder_W04 -> SocialAccount_WC04 -> MediaOutlet_WC04 -> Campaign_WC04,shares_link -> amplifies -> uses_similar_language,2 -> 2 -> 2,2,do_not_flag,"weak signals only (every hop grade <= 2, no funding edge); must remain below the triage threshold"
WC_05,Funder_W05 -> SocialAccount_WC05 -> MediaOutlet_WC05 -> Proxy_WC05 -> Report_WC05,co_occurs_with -> shares_link -> amplifies -> uses_similar_language,1 -> 2 -> 2 -> 2,2,do_not_flag,"weak signals only (every hop grade <= 2, no funding edge); must remain below the triage threshold"
WC_06,Funder_W06 -> SocialAccount_WC06 -> MediaOutlet_WC06 -> Campaign_WC06,shares_link -> amplifies -> uses_similar_language,2 -> 2 -> 2,2,do_not_flag,"weak signals only (every hop grade <= 2, no funding edge); must remain below the triage threshold"
WC_07,Funder_W07 -> SocialAccount_WC07 -> MediaOutlet_WC07 -> Proxy_WC07 -> Report_WC07,co_occurs_with -> shares_link -> amplifies -> uses_similar_language,1 -> 2 -> 2 -> 2,2,do_not_flag,"weak signals only (every hop grade <= 2, no funding edge); must remain below the triage threshold"
WC_08,Funder_W08 -> SocialAccount_WC08 -> MediaOutlet_WC08 -> Campaign_WC08,shares_link -> amplifies -> uses_similar_language,2 -> 2 -> 2,2,do_not_flag,"weak signals only (every hop grade <= 2, no funding edge); must remain below the triage threshold"
WC_09,Funder_W09 -> SocialAccount_WC09 -> MediaOutlet_WC09 -> Proxy_WC09 -> Report_WC09,co_occurs_with -> shares_link -> amplifies -> uses_similar_language,1 -> 2 -> 2 -> 2,2,do_not_flag,"weak signals only (every hop grade <= 2, no funding edge); must remain below the triage threshold"
WC_10,Funder_W10 -> SocialAccount_WC10 -> MediaOutlet_WC10 -> Campaign_WC10,shares_link -> amplifies -> uses_similar_language,2 -> 2 -> 2,2,do_not_flag,"weak signals only (every hop grade <= 2, no funding edge); must remain below the triage threshold"
