id,candidate_id,node_sequence,edge_sequence,evidence_grades,edge_provenance,evidence_snippets,review_priority_score,triage_threshold,score_threshold_crossed,eligible_for_high_priority,eligibility_rule_version,ineligible_reason,high_priority_review,flagged,ground_truth_label,is_weak_chain,touches_embedded_control,classification,explanation,recommended_action
GT_PATH_01,CAND_0002,Funder_01 -> Intermediary_Alpha -> Proxy_X -> Campaign_Y,funds -> partners_with -> hosts,4 -> 3 -> 3,ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_01 is listed as providing funding to Intermediary_Alpha during Phase_01. || Synthetic record: Intermediary_Alpha is described as a partner of Proxy_X during Phase_01. || Synthetic record: Proxy_X is listed as a host of Campaign_Y during Phase_02.,67.8,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 67.80 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 3, mean grade 3.33; documentary continuity maintained across all hops.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_04,CAND_0004,Funder_01 -> Intermediary_Delta -> Event_D -> Report_R,funds -> hosts -> publishes,4 -> 3 -> 3,ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_01 is listed as providing funding to Intermediary_Delta during Phase_01. || Synthetic record: Intermediary_Delta is listed as a host of Event_D during Phase_01. || Synthetic record: Event_D is listed as the publisher of Report_R during Phase_02.,67.8,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 67.80 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 3, mean grade 3.33; documentary continuity maintained across all hops.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_02,CAND_0006,Funder_02 -> Intermediary_Beta -> Event_C -> Proxy_Z -> Report_Q,funds -> hosts -> speaks_at -> publishes,4 -> 3 -> 3 -> 3,ground-truth -> ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_02 is listed as providing funding to Intermediary_Beta during Phase_01. || Synthetic record: Intermediary_Beta is listed as a host of Event_C during Phase_01. || Synthetic record: a representative of Event_C is listed as speaking at Proxy_Z during Phase_02. || Synthetic record: Proxy_Z is listed as the publisher of Report_Q during Phase_02.,65.78,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 65.78 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 3, mean grade 3.25; documentary continuity maintained across all hops.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
GT_PATH_03,CAND_0007,Funder_03 -> Intermediary_Gamma -> Proxy_W -> Campaign_V,funds -> partners_with -> amplifies,4 -> 3 -> 2,ground-truth -> ground-truth -> ground-truth,Synthetic record: Funder_03 is listed as providing funding to Intermediary_Gamma during Phase_01. || Synthetic record: Intermediary_Gamma is described as a partner of Proxy_W during Phase_01. || Synthetic record: Proxy_W repeatedly amplified output attributed to Campaign_V during Phase_02.,63.8,60.0,1,1,funding_and_min_grade_2_v1,,1,1,1,0,0,true_positive,"HIGH-PRIORITY REVIEW (raw score 63.80 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 2, mean grade 3.00; drops to a grade-2 shared-link/amplification hop.",Prioritise for expert review: inspect the underlying synthetic records and confirm each link independently before drawing any inference.
CAND_0008,CAND_0008,Funder_03 -> Intermediary_Gamma -> Proxy_W -> Campaign_Y,funds -> partners_with -> shares_link,4 -> 3 -> 2,ground-truth -> ground-truth -> distractor,Synthetic record: Funder_03 is listed as providing funding to Intermediary_Gamma during Phase_01. || Synthetic record: Intermediary_Gamma is described as a partner of Proxy_W during Phase_01. || Synthetic record: Proxy_W and Campaign_Y shared the same abstract link during Phase_03.,61.3,60.0,1,1,funding_and_min_grade_2_v1,,1,1,0,0,0,false_positive,"HIGH-PRIORITY REVIEW (raw score 61.30 >= threshold 60.0 and eligible): includes a direct synthetic funding edge (grade 4); weakest hop grade 2, mean grade 3.00; drops to a grade-2 shared-link/amplification hop.","Queue for expert review as a possible lead only; the weakest hop is low grade (grade 2), so it may be set aside on inspection of that hop."
CAND_0005,CAND_0005,Funder_02 -> Intermediary_Beta -> Report_R,funds -> co_occurs_with,4 -> 1,ground-truth -> distractor,Synthetic record: Funder_02 is listed as providing funding to Intermediary_Beta during Phase_01. || Synthetic record: Intermediary_Beta and Report_R co-occurred in one abstract index during Phase_01.,53.95,60.0,0,0,funding_and_min_grade_2_v1,minimum_evidence_grade_below_2,0,0,0,0,0,true_negative,"not high priority: raw score 53.95 is below threshold 60.0: includes a direct synthetic funding edge (grade 4); weakest hop grade 1, mean grade 2.50; drops to a grade-0/1 hop and is ineligible for high-priority review.",No review action required; retain in the audit log for completeness.
CAND_0003,CAND_0003,Funder_01 -> Intermediary_Alpha -> Proxy_X -> EmbeddedControl_02 -> Campaign_EC02,funds -> partners_with -> co_occurs_with -> shares_link,4 -> 3 -> 1 -> 2,ground-truth -> ground-truth -> negative-control -> negative-control,Synthetic record: Funder_01 is listed as providing funding to Intermediary_Alpha during Phase_01. || Synthetic record: Intermediary_Alpha is described as a partner of Proxy_X during Phase_01. || Synthetic record: Proxy_X and EmbeddedControl_02 co-occurred in one abstract index during Phase_02. || Synthetic record: EmbeddedControl_02 and Campaign_EC02 shared the same abstract link during Phase_03.,53.15,60.0,0,0,funding_and_min_grade_2_v1,minimum_evidence_grade_below_2,0,0,0,0,1,true_negative,"not high priority: raw score 53.15 is below threshold 60.0: includes a direct synthetic funding edge (grade 4); weakest hop grade 1, mean grade 2.50; drops to a grade-0/1 hop and is ineligible for high-priority review; passes through an embedded control actor connected only by weak co-occurrence.",No review action required; retain in the audit log for completeness.
CAND_0001,CAND_0001,Funder_01 -> Intermediary_Alpha -> EmbeddedControl_01 -> Report_EC01,funds -> co_occurs_with -> co_occurs_with,4 -> 1 -> 1,ground-truth -> negative-control -> negative-control,Synthetic record: Funder_01 is listed as providing funding to Intermediary_Alpha during Phase_01. || Synthetic record: Intermediary_Alpha and EmbeddedControl_01 co-occurred in one abstract index during Phase_02. || Synthetic record: EmbeddedControl_01 and Report_EC01 co-occurred in one abstract index during Phase_03.,47.2,60.0,0,0,funding_and_min_grade_2_v1,minimum_evidence_grade_below_2,0,0,0,0,1,true_negative,"not high priority: raw score 47.20 is below threshold 60.0: includes a direct synthetic funding edge (grade 4); weakest hop grade 1, mean grade 2.00; drops to a grade-0/1 hop and is ineligible for high-priority review; passes through an embedded control actor connected only by weak co-occurrence.",No review action required; retain in the audit log for completeness.
CAND_0010,CAND_0010,Funder_W02 -> SocialAccount_WC02 -> MediaOutlet_WC02 -> Campaign_WC02,shares_link -> amplifies -> uses_similar_language,2 -> 2 -> 2,distractor -> distractor -> distractor,Synthetic record: Funder_W02 and SocialAccount_WC02 shared the same abstract link during Phase_01. || Synthetic record: SocialAccount_WC02 repeatedly amplified output attributed to MediaOutlet_WC02 during Phase_01. || Synthetic record: MediaOutlet_WC02 used wording closely similar to Campaign_WC02 during Phase_01.,38.3,60.0,0,0,funding_and_min_grade_2_v1,missing_funding_edge,0,0,0,1,0,true_negative,"not high priority: raw score 38.30 is below threshold 60.0: no direct funding edge; weakest hop grade 2, mean grade 2.00; drops to a grade-2 shared-link/amplification hop; weak-signal-only chain (RQ5): no documentary hop anywhere.",No review action required; retain in the audit log for completeness.
CAND_0009,CAND_0009,Funder_W01 -> SocialAccount_WC01 -> MediaOutlet_WC01 -> Proxy_WC01 -> Report_WC01,co_occurs_with -> shares_link -> amplifies -> uses_similar_language,1 -> 2 -> 2 -> 2,distractor -> distractor -> distractor -> distractor,Synthetic record: Funder_W01 and SocialAccount_WC01 co-occurred in one abstract index during Phase_01. || Synthetic record: SocialAccount_WC01 and MediaOutlet_WC01 shared the same abstract link during Phase_01. || Synthetic record: MediaOutlet_WC01 repeatedly amplified output attributed to Proxy_WC01 during Phase_02. || Synthetic record: Proxy_WC01 used wording closely similar to Report_WC01 during Phase_02.,27.77,60.0,0,0,funding_and_min_grade_2_v1,missing_funding_edge;minimum_evidence_grade_below_2,0,0,0,1,0,true_negative,"not high priority: raw score 27.77 is below threshold 60.0: no direct funding edge; weakest hop grade 1, mean grade 1.75; drops to a grade-0/1 hop and is ineligible for high-priority review; weak-signal-only chain (RQ5): no documentary hop anywhere.",No review action required; retain in the audit log for completeness.
